timestamp_ms,overall_cpu_pct,overall_user_pct,overall_system_pct,overall_iowait_pct,memory_usage_pct,memory_available_kb,swap_usage_kb,load_1min,load_5min,load_15min,total_context_switches,runnable_tasks,blocked_tasks,total_processes,realtime_processes,active_threads,min_response_ms,avg_response_ms,max_response_ms,p95_response_ms,p99_response_ms,avg_scheduler_latency_ns,max_scheduler_latency_ns,page_faults,cache_misses,instructions_per_cycle
1748116488477,12.8676,0,0,0,1.41788e+07,121968764230688,0,0.174316,0.145996,0.0634766,0,0,0,0,0,0,0.000248,0.000282195,0.00054,0.000419,0.00054,1069.36,1911,0,0,0
1748116488746,12.5,0,0,0,2.05637e+07,120896163129512,0,0.174316,0.145996,0.0634766,0,0,0,0,0,0,0.000248,0.000281312,0.00054,0.000419,0.00054,1078.29,1911,0,0,0
1748116489016,12.5,0,0,0,2.17552e+07,120696883334108,0,0.240234,0.160156,0.0688477,0,0,0,0,0,0,0.000248,0.000280854,0.00054,0.000361,0.00054,1090.51,1911,0,0,0
1748116489287,12.5,0,0,0,2.36896e+07,120369090048824,0,0.240234,0.160156,0.0688477,0,0,0,0,0,0,0.000248,0.000283107,0.00054,0.000419,0.00054,1102.98,2010,0,0,0
1748116489558,12.5,0,0,0,2.38617e+07,120340233233864,0,0.240234,0.160156,0.0688477,0,0,0,0,0,0,0.000248,0.000282883,0.00054,0.000419,0.00054,1115.81,2010,0,0,0
1748116489827,18.756,0,0,0,2.40536e+07,120307685430944,0,0.240234,0.160156,0.0688477,0,0,0,0,0,0,0.000248,0.000282736,0.00054,0.000419,0.00054,1129.47,2010,0,0,0
1748116490097,12.5,0,0,0,2.42454e+07,120275875825616,0,0.240234,0.160156,0.0688477,0,0,0,0,0,0,0.000248,0.000282232,0.00054,0.0004,0.00054,1142.1,2010,0,0,0
1748116490367,12.5,0,0,0,2.82007e+07,119609988043196,0,0.240234,0.160156,0.0688477,0,0,0,0,0,0,0.000248,0.000282225,0.00054,0.0004,0.00054,1146.47,2010,0,0,0
1748116490637,12.5,0,0,0,3.30108e+07,118800755710184,0,0.240234,0.160156,0.0688477,0,0,0,0,0,0,0.000248,0.00028219,0.00054,0.0004,0.00054,1156.84,2019,0,0,0
1748116490907,12.5,0,0,0,3.76886e+07,118017494510636,0,0.240234,0.160156,0.0688477,0,0,0,0,0,0,0.000248,0.000282849,0.00054,0.0004,0.00054,1168.77,2050,0,0,0
1748116491167,12.5,0,0,0,1.76272e+07,121372032140864,0,0.240234,0.160156,0.0688477,0,0,0,0,0,0,0.000248,0.000282277,0.00054,0.00038,0.00054,1183.9,2050,0,0,0
1748116491437,12.5,0,0,0,2.05721e+07,120879184584896,0,0.240234,0.160156,0.0688477,0,0,0,0,0,0,0.000248,0.000281989,0.00054,0.00038,0.00054,1190.15,2050,0,0,0
1748116491707,12.5,0,0,0,2.28018e+07,120506260583192,0,0.240234,0.160156,0.0688477,0,0,0,0,0,0,0.000248,0.000281737,0.00054,0.00038,0.00054,1196.24,2050,0,0,0
1748116491977,12.5,0,0,0,2.38142e+07,120336710018084,0,0.240234,0.160156,0.0688477,0,0,0,0,0,0,0.000248,0.000281302,0.00054,0.00038,0.00054,1200.3,2050,0,0,0
1748116492247,12.5,0,0,0,2.39862e+07,120307584767636,0,0.240234,0.160156,0.0688477,0,0,0,0,0,0,0.000248,0.000281417,0.00054,0.000361,0.00053,1209.42,2221,0,0,0
1748116492517,12.5,0,0,0,2.41781e+07,120275439617948,0,0.240234,0.160156,0.0688477,0,0,0,0,0,0,0.000248,0.000286699,0.00096,0.0004,0.00054,1217.8,2221,0,0,0
1748116492787,12.5,0,0,0,2.69503e+07,119811180441452,0,0.240234,0.160156,0.0688477,0,0,0,0,0,0,0.000248,0.00028622,0.00096,0.0004,0.00054,1220.93,2221,0,0,0
1748116493056,12.5,0,0,0,3.20384e+07,118959434638028,0,0.240234,0.160156,0.0688477,0,0,0,0,0,0,0.000248,0.000286078,0.00096,0.0004,0.00054,1220,2221,0,0,0
1748116493327,12.5,0,0,0,3.66037e+07,118195299467000,0,0.240234,0.160156,0.0688477,0,0,0,0,0,0,0.000248,0.000286067,0.00096,0.00038,0.00054,1228.25,2221,0,0,0
1748116493597,12.5,0,0,0,3.95877e+07,117696915429092,0,0.240234,0.160156,0.0688477,0,0,0,0,0,0,0.000248,0.000285939,0.00096,0.00038,0.00054,1230.35,2221,0,0,0
1748116493868,12.5,0,0,0,1.99806e+07,120977868181172,0,0.240234,0.160156,0.0688477,0,0,0,0,0,0,0.000248,0.00028547,0.00096,0.00038,0.00054,1233.73,2221,0,0,0
1748116494137,12.5,0,0,0,2.36991e+07,120355634719988,0,0.240234,0.160156,0.0688477,0,0,0,0,0,0,0.000248,0.000285523,0.00096,0.00038,0.00054,1236.04,2221,0,0,0
1748116494407,12.5,0,0,0,2.38579e+07,120328354963520,0,0.240234,0.160156,0.0688477,0,0,0,0,0,0,0.000248,0.000285037,0.00096,0.00037,0.00054,1239.89,2221,0,0,0
1748116494677,12.5,0,0,0,2.40431e+07,120297518436836,0,0.240234,0.160156,0.0688477,0,0,0,0,0,0,0.000248,0.000286141,0.00096,0.00038,0.00054,1242.61,2221,0,0,0
1748116494947,12.5,0,0,0,2.4235e+07,120265809494816,0,0.380859,0.19043,0.0800781,0,0,0,0,0,0,0.000248,0.000287193,0.00096,0.0004,0.00054,1246.26,2221,0,0,0
1748116495217,12.5,0,0,0,2.84232e+07,119564890881212,0,0.380859,0.19043,0.0800781,0,0,0,0,0,0,0.000248,0.000286965,0.00096,0.0004,0.00054,1246.63,2221,0,0,0
1748116495487,12.5,0,0,0,3.33899e+07,118732841531720,0,0.380859,0.19043,0.0800781,0,0,0,0,0,0,0.000248,0.000287743,0.00096,0.0004,0.00054,1252.81,2221,0,0,0
1748116495757,12.5,0,0,0,3.80281e+07,117957096525836,0,0.380859,0.19043,0.0800781,0,0,0,0,0,0,0.000248,0.000287196,0.00096,0.0004,0.00054,1252.38,2221,0,0,0
1748116496027,12.5,0,0,0,1.97234e+07,121020247433840,0,0.380859,0.19043,0.0800781,0,0,0,0,0,0,0.000248,0.000286625,0.00096,0.0004,0.00054,1257.69,2221,0,0,0
1748116496297,12.5,0,0,0,2.24768e+07,120558941047712,0,0.380859,0.19043,0.0800781,0,0,0,0,0,0,0.000248,0.000286189,0.00096,0.0004,0.00054,1262.48,2221,0,0,0
1748116496564,12.5,0,0,0,2.3734e+07,120348722506172,0,0.380859,0.19043,0.0800781,0,0,0,0,0,0,0.000248,0.000285902,0.00096,0.00038,0.00054,1262.85,2221,0,0,0
1748116496837,12.5,0,0,0,2.39126e+07,120319127493620,0,0.380859,0.19043,0.0800781,0,0,0,0,0,0,0.000248,0.000287272,0.00096,0.0004,0.00068,1264.87,2221,0,0,0
1748116497107,12.5,0,0,0,2.40975e+07,120287955422576,0,0.380859,0.19043,0.0800781,0,0,0,0,0,0,0.000248,0.000286837,0.00096,0.0004,0.00068,1265.8,2221,0,0,0
1748116497378,12.5,0,0,0,2.47719e+07,120174944082128,0,0.380859,0.19043,0.0800781,0,0,0,0,0,0,0.000248,0.000288233,0.00096,0.00043,0.00068,1269.98,2221,0,0,0
1748116497647,12.5,0,0,0,2.99658e+07,119305582199804,0,0.380859,0.19043,0.0800781,0,0,0,0,0,0,0.000248,0.000287931,0.00096,0.000419,0.000542,1269.78,2221,0,0,0
1748116497917,12.5,0,0,0,3.47892e+07,118498497350696,0,0.380859,0.19043,0.0800781,0,0,0,0,0,0,0.000248,0.000288316,0.00096,0.00043,0.000542,1272.14,2221,0,0,0
1748116498186,13.125,0,0,0,3.9467e+07,117715940794304,0,0.380859,0.19043,0.0800781,0,0,0,0,0,0,0.000248,0.000289073,0.00096,0.00046,0.000542,1275.5,2221,0,0,0
1748116498457,12.5,0,0,0,2.13805e+07,120742517367068,0,0.380859,0.19043,0.0800781,0,0,0,0,0,0,0.000248,0.000288847,0.00096,0.00046,0.000542,1279.79,2221,0,0,0
1748116498727,12.5,0,0,0,2.32602e+07,120428212965056,0,0.380859,0.19043,0.0800781,0,0,0,0,0,0,0.000248,0.000288492,0.00096,0.00043,0.000542,1281.73,2221,0,0,0
1748116498997,12.5,0,0,0,2.37961e+07,120337951532216,0,0.380859,0.19043,0.0800781,0,0,0,0,0,0,0.000248,0.000288203,0.00096,0.00043,0.000542,1285.24,2221,0,0,0
1748116499267,12.5,0,0,0,2.39681e+07,120309866469284,0,0.430176,0.203613,0.0854492,0,0,0,0,0,0,0.000248,0.00028874,0.00096,0.00046,0.000542,1287.41,2221,0,0,0
1748116499537,12.5,0,0,0,2.41534e+07,120277855537340,0,0.430176,0.203613,0.0854492,0,0,0,0,0,0,0.000248,0.000289821,0.00096,0.00051,0.00068,1289.85,2221,0,0,0
1748116499807,12.5,0,0,0,2.64096e+07,119900334577904,0,0.430176,0.203613,0.0854492,0,0,0,0,0,0,0.000248,0.000290232,0.00096,0.00051,0.00068,1290.9,2221,0,0,0
1748116500075,12.5,0,0,0,3.15572e+07,119038992205784,0,0.430176,0.203613,0.0854492,0,0,0,0,0,0,0.000248,0.000290453,0.00096,0.00051,0.00068,1293.12,2221,0,0,0
1748116500347,12.6894,0,0,0,3.62386e+07,118250697840836,0,0.430176,0.203613,0.0854492,0,0,0,0,0,0,0.000248,0.000291034,0.00096,0.00051,0.00068,1295.1,2221,0,0,0
1748116500602,12.5,0,0,0,3.96064e+07,117687486632576,0,0.430176,0.203613,0.0854492,0,0,0,0,0,0,0.000248,0.000290972,0.00096,0.00051,0.00068,1295.86,2221,0,0,0
1748116500867,12.5,0,0,0,1.07353e+07,122519962950860,0,0.430176,0.203613,0.0854492,0,0,0,0,0,0,0.000248,0.000290578,0.00096,0.00051,0.00068,1294.19,2221,0,0,0
1748116501143,0,0,0,0,1.07353e+07,122519962950860,0,0.430176,0.203613,0.0854492,0,0,0,0,0,0,0.000248,0.000290543,0.00096,0.00051,0.00068,1291.48,2221,0,0,0
1748116501419,0,0,0,0,1.07353e+07,122519962950860,0,0.430176,0.203613,0.0854492,0,0,0,0,0,0,0.000248,0.000290149,0.00096,0.00051,0.00068,1286.23,2221,0,0,0
1748116501687,0,0,0,0,1.07353e+07,122519962950860,0,0.430176,0.203613,0.0854492,0,0,0,0,0,0,0.000248,0.000289927,0.00096,0.00051,0.00068,1282.41,2221,0,0,0
1748116501963,0,0,0,0,1.07353e+07,122519895841988,0,0.430176,0.203613,0.0854492,0,0,0,0,0,0,0.000248,0.000289567,0.00096,0.00051,0.00068,1277.54,2221,0,0,0
1748116502239,0,0,0,0,1.07353e+07,122519828733116,0,0.430176,0.203613,0.0854492,0,0,0,0,0,0,0.000248,0.000289263,0.00096,0.00051,0.00068,1272.2,2221,0,0,0
